,Hotel,Harga,Rating,Link
15,"Swiss-Belinn Tunjungan, Surabaya",Rp 576 rb,"4,6","https://www.google.com/maps/place/Swiss-Belinn+Tunjungan,+Surabaya/data=!4m10!3m9!1s0x2dd7f960cc059bc9:0xd6d43e7b67c5de11!5m2!4m1!1i2!8m2!3d-7.262125!4d112.740721!16s%2Fg%2F11bxjlvfnd!19sChIJyZsFzGD51y0REd7FZ3s-1NY?authuser=0&hl=id&rclk=1"
16,MERR 57,Rp 175 rb,"4,4",https://www.google.com/maps/place/MERR+57/data=!4m10!3m9!1s0x2dd7f9a9c884456f:0x960b4c3bdbc5e15f!5m2!4m1!1i2!8m2!3d-7.258266!4d112.782866!16s%2Fg%2F11fsw2f61s!19sChIJb0WEyKn51y0RX-HF2ztMC5Y?authuser=0&hl=id&rclk=1
17,The Alana Surabaya,Rp 636 rb,"4,7",https://www.google.com/maps/place/The+Alana+Surabaya/data=!4m10!3m9!1s0x2dd7fb6e3e5f520f:0x243076c343d56aef!5m2!4m1!1i2!8m2!3d-7.3184744!4d112.7316842!16s%2Fg%2F1jkz18760!19sChIJD1JfPm771y0R72rVQ8N2MCQ?authuser=0&hl=id&rclk=1
18,Hotel Oval,Rp 237 rb,"4,0",https://www.google.com/maps/place/Hotel+Oval/data=!4m10!3m9!1s0x2dd7fbec7f40b161:0xa14c8f29d8100731!5m2!4m1!1i2!8m2!3d-7.2939252!4d112.7374821!16s%2Fg%2F11xd7swvq!19sChIJYbFAf-z71y0RMQcQ2CmPTKE?authuser=0&hl=id&rclk=1
19,De Puri Boutique Hotel,Rp 185 rb,"4,1",https://www.google.com/maps/place/De+Puri+Boutique+Hotel/data=!4m10!3m9!1s0x2dd7fbd9f69f91df:0x7e5dca48ca7adfca!5m2!4m1!1i2!8m2!3d-7.271348!4d112.751011!16s%2Fg%2F1hc48b0n5!19sChIJ35Gf9tn71y0Ryt96ykjKXX4?authuser=0&hl=id&rclk=1
20,PRATISARA WIRYA,Rp 167 rb,"4,1",https://www.google.com/maps/place/PRATISARA+WIRYA/data=!4m10!3m9!1s0x2dd7fa39b0ff2257:0xa8e86964c45c0a0e!5m2!4m1!1i2!8m2!3d-7.2821631!4d112.7769998!16s%2Fg%2F11c5rmt33h!19sChIJVyL_sDn61y0RDgpcxGRp6Kg?authuser=0&hl=id&rclk=1
21,My Studio Hotel Surabaya,Rp 136 rb,"4,2",https://www.google.com/maps/place/My+Studio+Hotel+Surabaya/data=!4m10!3m9!1s0x2dd7fbd82ec7c35d:0x22e5c1c6d0e21554!5m2!4m1!1i2!8m2!3d-7.2675503!4d112.7508463!16s%2Fg%2F11cjh_8vrd!19sChIJXcPHLtj71y0RVBXi0MbB5SI?authuser=0&hl=id&rclk=1
22,Bella Hotel Surabaya,Rp 232 rb,"4,0",https://www.google.com/maps/place/Bella+Hotel+Surabaya/data=!4m10!3m9!1s0x2dd7fc748791b201:0x201ba1e846cf21dd!5m2!4m1!1i2!8m2!3d-7.2909416!4d112.7100252!16s%2Fg%2F11b6hq1ltw!19sChIJAbKRh3T81y0R3SHPRuihGyA?authuser=0&hl=id&rclk=1
23,PrimeBiz Hotel Surabaya,Rp 358 rb,"4,5",https://www.google.com/maps/place/PrimeBiz+Hotel+Surabaya/data=!4m10!3m9!1s0x2dd7fb5deb9ca4fd:0x85c38e1cf85d6060!5m2!4m1!1i2!8m2!3d-7.3292797!4d112.7224016!16s%2Fg%2F11cn974hpj!19sChIJ_aSc61371y0RYGBd-ByOw4U?authuser=0&hl=id&rclk=1
24,BeSS Mansion Hotel Surabaya,Rp 464 rb,"4,5",https://www.google.com/maps/place/BeSS+Mansion+Hotel+Surabaya/data=!4m10!3m9!1s0x2dd7fba1e70e2d19:0x120aadc9608990e1!5m2!4m1!1i2!8m2!3d-7.3272464!4d112.7329638!16s%2Fg%2F11nnv7_z1t!19sChIJGS0O56H71y0R4ZCJYMmtChI?authuser=0&hl=id&rclk=1
25,Grand Surabaya Hotel,Rp 265 rb,"4,1",https://www.google.com/maps/place/Grand+Surabaya+Hotel/data=!4m10!3m9!1s0x2dd7f962ecd9da13:0x12c01fce53150373!5m2!4m1!1i2!8m2!3d-7.2645236!4d112.746801!16s%2Fg%2F12hkbxlw3!19sChIJE9rZ7GL51y0RcwMVU84fwBI?authuser=0&hl=id&rclk=1
26,Ngagel Residence Surabaya,Rp 149 rb,"4,6",https://www.google.com/maps/place/Ngagel+Residence+Surabaya/data=!4m10!3m9!1s0x2dd7fb20cf198e07:0xf32c3caf93f408ae!5m2!4m1!1i2!8m2!3d-7.2918237!4d112.7615247!16s%2Fg%2F11r9nngkl2!19sChIJB44ZzyD71y0Rrgj0k688LPM?authuser=0&hl=id&rclk=1
27,Sleep Studio Hotel City Center Surabaya,Rp 233 rb,"4,6",https://www.google.com/maps/place/Sleep+Studio+Hotel+City+Center+Surabaya/data=!4m10!3m9!1s0x2dd7f9e273cfa22b:0x68f37a34289ec878!5m2!4m1!1i2!8m2!3d-7.2554722!4d112.7187504!16s%2Fg%2F11kc2n0gdd!19sChIJK6LPc-L51y0ReMieKDR682g?authuser=0&hl=id&rclk=1
28,Hotel SWK 95,Rp 172 rb,"4,0",https://www.google.com/maps/place/Hotel+SWK+95/data=!4m10!3m9!1s0x2dd7fb48b89c5ca3:0xb45cc671efa7da7d!5m2!4m1!1i2!8m2!3d-7.3391289!4d112.7341625!16s%2Fg%2F12q4tbmg0!19sChIJo1ycuEj71y0Rfdqn73HGXLQ?authuser=0&hl=id&rclk=1
29,D'Carol Hotel Surabaya,Rp 170 rb,"4,2",https://www.google.com/maps/place/D%27Carol+Hotel+Surabaya/data=!4m10!3m9!1s0x2dd7f929e9fd090b:0x2d25ca393cd0a1d8!5m2!4m1!1i2!8m2!3d-7.24647!4d112.72994!16s%2Fg%2F11n70drgpq!19sChIJCwn96Sn51y0R2KHQPDnKJS0?authuser=0&hl=id&rclk=1
30,PrimeBiz Hotel Surabaya,Rp 358 rb,"4,5",https://www.google.com/maps/place/PrimeBiz+Hotel+Surabaya/data=!4m10!3m9!1s0x2dd7fb5deb9ca4fd:0x85c38e1cf85d6060!5m2!4m1!1i2!8m2!3d-7.3292797!4d112.7224016!16s%2Fg%2F11cn974hpj!19sChIJ_aSc61371y0RYGBd-ByOw4U?authuser=0&hl=id&rclk=1
31,BeSS Mansion Hotel Surabaya,Rp 464 rb,"4,5",https://www.google.com/maps/place/BeSS+Mansion+Hotel+Surabaya/data=!4m10!3m9!1s0x2dd7fba1e70e2d19:0x120aadc9608990e1!5m2!4m1!1i2!8m2!3d-7.3272464!4d112.7329638!16s%2Fg%2F11nnv7_z1t!19sChIJGS0O56H71y0R4ZCJYMmtChI?authuser=0&hl=id&rclk=1
32,Quest Hotel Darmo Surabaya,Rp 317 rb,"4,5",https://www.google.com/maps/place/Quest+Hotel+Darmo+Surabaya/data=!4m10!3m9!1s0x2e69f17f3db16033:0x57a49d03e0a93896!5m2!4m1!1i2!8m2!3d-7.2854468!4d112.7389037!16s%2Fg%2F11xkr764m!19sChIJM2CxPX_xaS4Rljip4AOdpFc?authuser=0&hl=id&rclk=1
33,Fairfield by Marriott Surabaya,Rp 833 rb,"4,4",https://www.google.com/maps/place/Fairfield+by+Marriott+Surabaya/data=!4m10!3m9!1s0x2dd7fc74b7ddde23:0xc65766834ba1db87!5m2!4m1!1i2!8m2!3d-7.2888442!4d112.7106248!16s%2Fg%2F11cs61r3n8!19sChIJI97dt3T81y0Rh9uhS4NmV8Y?authuser=0&hl=id&rclk=1
34,Surabaya Suites Hotel Powered by Archipelago,Rp 366 rb,"4,5",https://www.google.com/maps/place/Surabaya+Suites+Hotel+Powered+by+Archipelago/data=!4m10!3m9!1s0x2dd7f96297b733af:0x28a46f0b0038e185!5m2!4m1!1i2!8m2!3d-7.263215!4d112.748352!16s%2Fg%2F1tfd9krc!19sChIJrzO3l2L51y0RheE4AAtvpCg?authuser=0&hl=id&rclk=1
35,Grand Surabaya Hotel,Rp 265 rb,"4,1",https://www.google.com/maps/place/Grand+Surabaya+Hotel/data=!4m10!3m9!1s0x2dd7f962ecd9da13:0x12c01fce53150373!5m2!4m1!1i2!8m2!3d-7.2645236!4d112.746801!16s%2Fg%2F12hkbxlw3!19sChIJE9rZ7GL51y0RcwMVU84fwBI?authuser=0&hl=id&rclk=1
36,Ngagel Residence Surabaya,Rp 149 rb,"4,6",https://www.google.com/maps/place/Ngagel+Residence+Surabaya/data=!4m10!3m9!1s0x2dd7fb20cf198e07:0xf32c3caf93f408ae!5m2!4m1!1i2!8m2!3d-7.2918237!4d112.7615247!16s%2Fg%2F11r9nngkl2!19sChIJB44ZzyD71y0Rrgj0k688LPM?authuser=0&hl=id&rclk=1
37,Sleep Studio Hotel City Center Surabaya,Rp 233 rb,"4,6",https://www.google.com/maps/place/Sleep+Studio+Hotel+City+Center+Surabaya/data=!4m10!3m9!1s0x2dd7f9e273cfa22b:0x68f37a34289ec878!5m2!4m1!1i2!8m2!3d-7.2554722!4d112.7187504!16s%2Fg%2F11kc2n0gdd!19sChIJK6LPc-L51y0ReMieKDR682g?authuser=0&hl=id&rclk=1
38,Hotel SWK 95,Rp 172 rb,"4,0",https://www.google.com/maps/place/Hotel+SWK+95/data=!4m10!3m9!1s0x2dd7fb48b89c5ca3:0xb45cc671efa7da7d!5m2!4m1!1i2!8m2!3d-7.3391289!4d112.7341625!16s%2Fg%2F12q4tbmg0!19sChIJo1ycuEj71y0Rfdqn73HGXLQ?authuser=0&hl=id&rclk=1
39,D'Carol Hotel Surabaya,Rp 170 rb,"4,2",https://www.google.com/maps/place/D%27Carol+Hotel+Surabaya/data=!4m10!3m9!1s0x2dd7f929e9fd090b:0x2d25ca393cd0a1d8!5m2!4m1!1i2!8m2!3d-7.24647!4d112.72994!16s%2Fg%2F11n70drgpq!19sChIJCwn96Sn51y0R2KHQPDnKJS0?authuser=0&hl=id&rclk=1
40,LUMINOR Hotel,Rp 525 rb,"4,5",https://www.google.com/maps/place/LUMINOR+Hotel/data=!4m10!3m9!1s0x2dd7fb1ac9b91b49:0x4bb2613bb1da37d1!5m2!4m1!1i2!8m2!3d-7.3172384!4d112.7525491!16s%2Fg%2F11b7q2wj99!19sChIJSRu5yRr71y0R0TfasTthsks?authuser=0&hl=id&rclk=1
41,Zafira Flora,Rp 149 rb,"3,9",https://www.google.com/maps/place/Zafira+Flora/data=!4m10!3m9!1s0x2dd7fbd56bae9319:0x74b518523f4ec185!5m2!4m1!1i2!8m2!3d-7.267061!4d112.7610875!16s%2Fg%2F11bbwz356r!19sChIJGZOua9X71y0RhcFOP1IYtXQ?authuser=0&hl=id&rclk=1
42,ARTOTEL TS Suites Surabaya,Rp 726 rb,"4,6",https://www.google.com/maps/place/ARTOTEL+TS+Suites+Surabaya/data=!4m10!3m9!1s0x2dd7fbddd2f15917:0xfd0d8024a750eb7a!5m2!4m1!1i2!8m2!3d-7.2948091!4d112.7310397!16s%2Fg%2F11s69kj6h9!19sChIJF1nx0t371y0ReutQpySADf0?authuser=0&hl=id&rclk=1
43,Sans Hotel 88 Andalan Surabaya,Rp 274 rb,"4,8",https://www.google.com/maps/place/Sans+Hotel+88+Andalan+Surabaya/data=!4m10!3m9!1s0x2dd7fb95eff3ea3d:0x61db8c20ee815a02!5m2!4m1!1i2!8m2!3d-7.3176338!4d112.7286612!16s%2Fg%2F11vhqf5lpw!19sChIJPerz75X71y0RAlqB7iCM22E?authuser=0&hl=id&rclk=1
44,Livinn Hotel Kendangsari,Rp 131 rb,"4,3",https://www.google.com/maps/place/Livinn+Hotel+Kendangsari/data=!4m10!3m9!1s0x2dd7fb3c7a88ce7b:0x251464f41db0ab96!5m2!4m1!1i2!8m2!3d-7.3291711!4d112.7463211!16s%2Fg%2F11l378k4m2!19sChIJe86Iejz71y0RlquwHfRkFCU?authuser=0&hl=id&rclk=1
45,Whiz Luxe Hotel Spazio Surabaya,Rp 672 rb,"4,8",https://www.google.com/maps/place/Whiz+Luxe+Hotel+Spazio+Surabaya/data=!4m10!3m9!1s0x2dd7fd9cf62d40b9:0xf315b18b7f3cbe3d!5m2!4m1!1i2!8m2!3d-7.2904309!4d112.6770872!16s%2Fg%2F11k3dywzx3!19sChIJuUAt9pz91y0RPb48f4uxFfM?authuser=0&hl=id&rclk=1
46,The Capital Hotel Surabaya,Rp 388 rb,"4,9",https://www.google.com/maps/place/The+Capital+Hotel+Surabaya/data=!4m10!3m9!1s0x2dd7fb124320900d:0x92121e6674b7bd05!5m2!4m1!1i2!8m2!3d-7.3132757!4d112.7565281!16s%2Fg%2F11vlhz8g3s!19sChIJDZAgQxL71y0RBb23dGYeEpI?authuser=0&hl=id&rclk=1
