,Hotel,Harga,Rating,Link
67,Mira Inn,Rp 126 rb,"3,7",https://www.google.com/maps/place/Mira+Inn/data=!4m10!3m9!1s0x2dd7fbd85c050c1b:0xb048f76a7bd4b4cd!5m2!4m1!1i2!8m2!3d-7.2682744!4d112.7481956!16s%2Fg%2F11clyhrsct!19sChIJGwwFXNj71y0RzbTUe2r3SLA?authuser=0&hl=id&rclk=1
68,Grace Setia Hotel,Rp 227 rb,"4,0",https://www.google.com/maps/place/Grace+Setia+Hotel/data=!4m10!3m9!1s0x2dd7f99276678919:0x93c79b4d231bbcec!5m2!4m1!1i2!8m2!3d-7.2591667!4d112.7827778!16s%2Fg%2F11b6d82t37!19sChIJGYlndpL51y0R7LwbI02bx5M?authuser=0&hl=id&rclk=1
69,Hotel agogo,Rp 307 rb,"4,4",https://www.google.com/maps/place/Hotel+agogo/data=!4m10!3m9!1s0x2dd7f9c70518fddf:0x191b7e437213452d!5m2!4m1!1i2!8m2!3d-7.260881!4d112.7510651!16s%2Fg%2F11jcdbmq99!19sChIJ3_0YBcf51y0RLUUTckN-Gxk?authuser=0&hl=id&rclk=1
70,Elmi Hotel,Rp 344 rb,"4,5",https://www.google.com/maps/place/Elmi+Hotel/data=!4m10!3m9!1s0x2dd7fbdee0193f3b:0xe1f091ed3277eeb0!5m2!4m1!1i2!8m2!3d-7.2695428!4d112.7432163!16s%2Fg%2F11b6jh6c_j!19sChIJOz8Z4N771y0RsO53Mu2R8OE?authuser=0&hl=id&rclk=1
71,Brava Suites by ZIA,Rp 299 rb,"4,3",https://www.google.com/maps/place/Brava+Suites+by+ZIA/data=!4m10!3m9!1s0x2dd7fc0ce4b765eb:0xcc1d743ebb1d8631!5m2!4m1!1i2!8m2!3d-7.287309!4d112.706498!16s%2Fg%2F11dzw4bv77!19sChIJ62W35Az81y0RMYYduz50Hcw?authuser=0&hl=id&rclk=1
72,SkysuitesResidence,Rp 328 rb,"4,8",https://www.google.com/maps/place/SkysuitesResidence/data=!4m10!3m9!1s0x2dd7fb7c5f1e6b11:0x6ab920ce753c2e3d!5m2!4m1!1i2!8m2!3d-7.3107962!4d112.773753!16s%2Fg%2F11t5dwq25j!19sChIJEWseX3z71y0RPS48dc4guWo?authuser=0&hl=id&rclk=1
73,Djuragan Kamar Gunung Anyar,Rp 201 rb,"4,6",https://www.google.com/maps/place/Djuragan+Kamar+Gunung+Anyar/data=!4m10!3m9!1s0x2dd7fb8038bc0183:0x9629e142b88390fa!5m2!4m1!1i2!8m2!3d-7.3343611!4d112.7836932!16s%2Fg%2F11jnl1z_6_!19sChIJgwG8OID71y0R-pCDuELhKZY?authuser=0&hl=id&rclk=1
74,Uno Hotel Surabaya,Rp 195 rb,"3,5",https://www.google.com/maps/place/Uno+Hotel+Surabaya/data=!4m10!3m9!1s0x2dd7f967a49339c7:0xbbb685c8b4da7e97!5m2!4m1!1i2!8m2!3d-7.2583784!4d112.7398797!16s%2Fg%2F1tf8kb0x!19sChIJxzmTpGf51y0Rl37atMiFtrs?authuser=0&hl=id&rclk=1
75,Graha Cempaka Boutique Hotel,Rp 266 rb,"4,3",https://www.google.com/maps/place/Graha+Cempaka+Boutique+Hotel/data=!4m10!3m9!1s0x2dd7fae205220061:0xc589b3258dc2364f!5m2!4m1!1i2!8m2!3d-7.3208063!4d112.7634843!16s%2Fg%2F11b6bbw26y!19sChIJYQAiBeL61y0RTzbCjSWzicU?authuser=0&hl=id&rclk=1
76,Kampi Hotel Tunjungan Surabaya,Rp 528 rb,"4,7",https://www.google.com/maps/place/Kampi+Hotel+Tunjungan+Surabaya/data=!4m10!3m9!1s0x2dd7f961a0f7703d:0x40a65a68a3243878!5m2!4m1!1i2!8m2!3d-7.2644399!4d112.7432417!16s%2Fg%2F11c52bwz52!19sChIJPXD3oGH51y0ReDgko2hapkA?authuser=0&hl=id&rclk=1
77,Mercure Surabaya Grand Mirama,Rp 552 rb,"4,6",https://www.google.com/maps/place/Mercure+Surabaya+Grand+Mirama/data=!4m10!3m9!1s0x2dd7fbf2ad66ed09:0x7eaa44ef0a7b86e!5m2!4m1!1i2!8m2!3d-7.2853121!4d112.7393226!16s%2Fg%2F1tdkv2jj!19sChIJCe1mrfL71y0Rbrin8E6k6gc?authuser=0&hl=id&rclk=1
78,Hotel Platinum Tunjungan Surabaya,Rp 795 rb,"4,7",https://www.google.com/maps/place/Hotel+Platinum+Tunjungan+Surabaya/data=!4m10!3m9!1s0x2dd7f925e9ff314f:0xc89e8d87cd1ba7b9!5m2!4m1!1i2!8m2!3d-7.2574373!4d112.738098!16s%2Fg%2F11frsh1n52!19sChIJTzH_6SX51y0RuacbzYeNnsg?authuser=0&hl=id&rclk=1
79,Hotel Neo Gubeng,Rp 329 rb,"4,4",https://www.google.com/maps/place/Hotel+Neo+Gubeng/data=!4m10!3m9!1s0x2dd7fbda4df2deb7:0x63354b9c7cb39c15!5m2!4m1!1i2!8m2!3d-7.2732649!4d112.7483199!16s%2Fg%2F11b63fs7_l!19sChIJt97yTdr71y0RFZyzfJxLNWM?authuser=0&hl=id&rclk=1
80,Hotel Aria Centra,Rp 467 rb,"4,5",https://www.google.com/maps/place/Hotel+Aria+Centra/data=!4m10!3m9!1s0x2dd7fbdf68903839:0xd515b78e7ff707a2!5m2!4m1!1i2!8m2!3d-7.2676697!4d112.743668!16s%2Fg%2F11cn34fj4b!19sChIJOTiQaN_71y0Rogf3f463FdU?authuser=0&hl=id&rclk=1
81,Varna Culture Hotel,Rp 314 rb,"4,4",https://www.google.com/maps/place/Varna+Culture+Hotel/data=!4m10!3m9!1s0x2dd7f9678076e5fd:0xf1b2159fdbf4f35c!5m2!4m1!1i2!8m2!3d-7.2594738!4d112.7390889!16s%2Fg%2F11b67jxdry!19sChIJ_eV2gGf51y0RXPP0258VsvE?authuser=0&hl=id&rclk=1
82,Soerabaja Place Hotel,Rp 123 rb,"4,4",https://www.google.com/maps/place/Soerabaja+Place+Hotel/data=!4m10!3m9!1s0x2dd7f96f6f6292a3:0xc29787463d207ecd!5m2!4m1!1i2!8m2!3d-7.2581506!4d112.7462649!16s%2Fg%2F11xbcbpcq!19sChIJo5Jib2_51y0RzX4gPUaHl8I?authuser=0&hl=id&rclk=1
83,Wyndham Hotel,Rp 824 rb,"4,5",https://www.google.com/maps/place/Wyndham+Hotel/data=!4m10!3m9!1s0x2dd7fbdf8529238f:0x570cefc4dfe38902!5m2!4m1!1i2!8m2!3d-7.2677016!4d112.7417081!16s%2Fg%2F11dxdbrhn5!19sChIJjyMphd_71y0RAonj38TvDFc?authuser=0&hl=id&rclk=1
84,Hotel Vini Vidi Vici,Rp 198 rb,"3,9",https://www.google.com/maps/place/Hotel+Vini+Vidi+Vici/data=!4m10!3m9!1s0x2dd7f96a8d921b77:0x8f82096903a594a9!5m2!4m1!1i2!8m2!3d-7.2491667!4d112.7402778!16s%2Fg%2F1tcv3qz8!19sChIJdxuSjWr51y0RqZSlA2kJgo8?authuser=0&hl=id&rclk=1
85,Grand INNA Tunjungan,Rp 448 rb,"4,4",https://www.google.com/maps/place/Grand+INNA+Tunjungan/data=!4m10!3m9!1s0x2dd7f960e09a2223:0x337c8a1b43a6a84!5m2!4m1!1i2!8m2!3d-7.2625432!4d112.7416153!16s%2Fg%2F1tfdvzg1!19sChIJIyKa4GD51y0RhGo6tKHINwM?authuser=0&hl=id&rclk=1
86,Autumn Living Hotel Kapsul Simokerto,Rp 109 rb,"4,8",https://www.google.com/maps/place/Autumn+Living+Hotel+Kapsul+Simokerto/data=!4m10!3m9!1s0x2dd7f99c7d8fd6e1:0x4d940c797f27199c!5m2!4m1!1i2!8m2!3d-7.2374972!4d112.7540719!16s%2Fg%2F11kqkk0mx6!19sChIJ4daPfZz51y0RnBknf3kMlE0?authuser=0&hl=id&rclk=1
87,Sans Hotel Kupang Indah Surabaya,Rp 180 rb,"4,0",https://www.google.com/maps/place/Sans+Hotel+Kupang+Indah+Surabaya/data=!4m10!3m9!1s0x2dd7fc055206e125:0xf2f38e8e156f6e5c!5m2!4m1!1i2!8m2!3d-7.2784581!4d112.7035277!16s%2Fg%2F11rr6swxnm!19sChIJJeEGUgX81y0RXG5vFY6O8_I?authuser=0&hl=id&rclk=1
88,RUBIKZ HOSTEL & CAFE,"Rp 75,2 rb","4,2",https://www.google.com/maps/place/RUBIKZ+HOSTEL+%26+CAFE/data=!4m10!3m9!1s0x2dd7f97da56fa5c7:0x73b77107aea4499!5m2!4m1!1i2!8m2!3d-7.2644492!4d112.7543465!16s%2Fg%2F11b6dp8s32!19sChIJx6VvpX351y0RmUTqehB3Owc?authuser=0&hl=id&rclk=1
