,Nama Hotel,Rating,Lokasi,Harga per Malam
81,Citra Suites Raya Bratang Binangun," 7.9 (1,4K reviews)","Gubeng, Surabaya",Rp 235.537
82,Losmen Family Syariah Bypass Juanda Mitra RedDoorz, 8.1 (74 reviews),"Sedati, Surabaya",Rp 102.670
83,RedDoorz Syariah @ Prapen Jaya Surabaya, 7.8 (6 reviews),"Wonocolo, Surabaya",Rp 145.264
84,RedDoorz Apartment near Bundaran Satelit Surabaya 2, 8.3 (14 reviews),"Dukuh Pakis, Surabaya",Rp 256.612
85,Rock Hotel Family, 8.2 (1K reviews),"Gubeng, Surabaya",Rp 227.273
86,SUPER OYO 710 Naomi Heritage, 7.8 (88 reviews),"Dukuh Pakis, Surabaya",Rp 217.615
87,RedDoorz @ Citraland Surabaya, 7.7 (11 reviews),"Dukuh Pakis, Surabaya",Rp 249.025
88,Sakinah Homey near Kutisari Road, 8.4 (129 reviews),"Wonocolo, Surabaya",Rp 99.174
89,Koolkost near RSAL Surabaya (Minimum Stay 3 Nights), 6.4 (7 reviews),"Wonocolo, Surabaya",Rp 195.992
90,Apartemen Tanglin 1 Bedroom by BABUKU - 2, 8.7 (115 reviews),"Wiyung, Surabaya",Rp 325.289
91,Graha Teras Syari'ah, 7.9 (240 reviews),"Ampel, Surabaya",Rp 165.289
92,RedDoorz @ Panglima Sudirman Surabaya, 8.4 (5 reviews),"Genteng, Surabaya",Rp 197.256
93,Pits Hotel Mitra RedDoorz near Atom Mall, 7.6 (18 reviews),"Pabean Cantian, Surabaya",Rp 189.030
94,Pondok Hijau Syariah Mitra RedDoorz @ Citraland Surabaya, 7.7 (8 reviews),"Dukuh Pakis, Surabaya",Rp 141.114
95,Cosmy Benson Apartment at Supermal Pakuwon, 9.5 (13 reviews),"Wiyung, Surabaya",Rp 578.264
96,Capital O Sukomanunggal Inn Surabaya, 8.2 (45 reviews),"Sukomanunggal, Surabaya",Rp 232.316
97,RedDoorz @ Tanjung Sari Surabaya, 8.9 (16 reviews),"Sukomanunggal, Surabaya",Rp 227.008
98,ANDERSON TOWER STUDIO UNIT 2, 7.5 (5 reviews),"Wiyung, Surabaya",Rp 371.901
99,SAS Guest House Mitra RedDoorz @ Darmo Park 2 Surabaya, 6.3 (9 reviews),"Dukuh Pakis, Surabaya",Rp 142.855
100,Hotel Jawa and Residences, 7.2 (19 reviews),"Gubeng, Surabaya",Rp 191.100
101,RedDoorz near Lenmarc Mall Surabaya, 6.9 (24 reviews),"Sukomanunggal, Surabaya",Rp 190.406
102,RedDoorz Syariah near Exit Tol Waru, 7.9 (8 reviews),"Waru, Surabaya",Rp 111.369
103,Best Studio Benson Apartment Connected to Pakuwon Mall next to Anderson, 7.5 (8 reviews),"Wiyung, Surabaya",Rp 410.734
104,RedDoorz near Taman Bungkul, 6.0 (12 reviews),"Tegalsari, Surabaya",Rp 160.829
105,RedDoorz @ Gunungsari Surabaya 2, 8.4 (7 reviews),"Karangpilang, Surabaya",Rp 225.372
106,ANDERSON TOWER 2BR UNIT 4, 7.8 (5 reviews),"Wiyung, Surabaya",Rp 619.835
107,Umada Beds & Lounge Surabaya, 8.1 (400 reviews),"Wonokromo, Surabaya",Rp 206.612
108,Strategic Studio at Orchard Supermall Mansion Apartment By Travelio, 6.6 (6 reviews),"Wiyung, Surabaya",Rp 448.051
109,RedDoorz near Surabaya Zoo, 8.5 (5 reviews),"Sawahan, Surabaya",Rp 188.093
110,Delightful Studio at Orchard Supermall Mansion Apartment By Travelio, 8.5 (7 reviews),"Wiyung, Surabaya",Rp 363.793
